county_fips,county_name,data_mode,poverty_pct,median_household_income,uninsured_pct,pct_age_65_plus,disability_pct,transportation_access_proxy,internet_access_gap_pct,primary_care_physicians_per_100k,mental_health_providers_per_100k,dental_providers_per_100k,hpsa_primary_care_score,hpsa_primary_care_count,hpsa_primary_care_designated,hpsa_mental_health_score,hpsa_mental_health_count,hpsa_mental_health_designated,hpsa_dental_score,hpsa_dental_count,hpsa_dental_designated,hospital_count,acute_care_hospitals,emergency_services_count,avg_hospital_star_rating,hospital_count_per_100k,diabetes_pct,obesity_pct,hypertension_pct,poor_or_fair_health_pct,smoking_pct,frequent_physical_distress_pct,routine_checkup_pct,provider_gap_index,socioeconomic_need_index,insurance_access_burden_index,chronic_burden_index,hospital_quality_gap_index,access_risk_score,high_access_risk,top_risk_factor,source_acs,source_cdc_places,source_hrsa_hpsa,source_cms_hospital_quality
24001,Allegany,mixed_real_and_demo_data,16.85,59603.0,3.78,21.14,21.15,9.14,12.92,72,145,42,18.0,2,1,17.0,3,1,18.0,2,1,2.0,1.0,1.0,4.0,2.965071458222143,13.3,36.6,39.6,22.7,17.7,15.5,79.7,76.09504039289529,84.73680200749477,29.83647137175946,72.01467449856196,37.01249036351776,64.1,1,Socioeconomic vulnerability,real_public_data,real_public_data,real_public_data,real_public_data
24003,Anne Arundel,mixed_real_and_demo_data,5.64,124911.0,4.75,15.86,10.75,4.06,2.98,92,215,68,18.0,1,1,12.0,2,1,20.0,1,1,3.0,2.0,3.0,4.0,0.5015330192622115,10.4,34.5,34.5,16.1,10.6,11.7,79.6,66.05619763696954,16.733893837994028,14.633275689778438,26.589288915120108,55.520708756113734,32.5,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24510,Baltimore City,mixed_real_and_demo_data,19.75,62177.0,5.94,15.28,16.52,26.66,9.75,138,280,76,24.0,19,1,22.0,10,1,26.0,8,1,14.0,12.0,11.0,3.363636363636364,2.4422452607358482,14.4,38.7,40.6,23.0,15.8,13.8,80.4,76.56927791136326,78.3692325992488,57.144229760030534,75.72564227474713,47.21799132305148,70.0,1,Socioeconomic vulnerability,real_public_data,real_public_data,real_public_data,real_public_data
24005,Baltimore County,mixed_real_and_demo_data,9.78,91768.0,5.44,18.14,12.14,7.82,5.06,101,245,72,18.0,3,1,18.0,2,1,0.0,0,0,7.0,5.0,4.0,3.75,0.8227589222328267,13.1,34.0,36.7,18.2,11.1,11.7,80.3,52.29180666216096,40.7347299996639,26.43643831645648,42.82907232012091,56.43377286010479,42.3,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24009,Calvert,mixed_real_and_demo_data,3.87,133922.0,3.05,16.33,10.81,2.95,4.79,67,128,55,13.0,1,1,14.0,1,1,0.0,0,0,1.0,1.0,1.0,5.0,1.060299216438879,10.9,36.3,36.9,15.9,11.1,11.9,79.4,53.128640959912694,10.317230225665952,5.398812079576356,34.30558631479346,43.68601977811471,27.2,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24011,Caroline,mixed_real_and_demo_data,12.16,68457.0,7.31,17.32,14.94,5.54,9.88,45,82,31,20.0,2,1,23.0,2,1,24.0,1,1,0.0,0.0,0.0,0.0,0.0,14.2,41.7,41.3,22.3,17.4,15.3,78.7,92.9923068983204,56.90561104608602,43.950718670135345,81.83420552167354,90.0,71.1,1,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24013,Carroll,mixed_real_and_demo_data,5.21,118211.0,2.9,17.94,12.43,3.27,5.77,73,155,58,15.0,1,1,16.0,1,1,0.0,0,0,2.0,1.0,1.0,3.0,1.1407646545479435,10.3,37.7,34.4,14.4,10.9,11.4,76.2,55.00689218080623,22.166859980308264,6.355253035547469,26.050304938028713,59.07338749520947,30.2,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24015,Cecil,mixed_real_and_demo_data,10.85,92007.0,3.61,17.08,13.12,4.86,6.1,61,118,42,20.0,2,1,17.0,2,1,24.0,1,1,2.0,2.0,0.0,4.0,1.9054878048780488,13.2,41.3,39.2,19.6,15.3,14.0,77.4,83.86024413797456,43.93229549315508,13.161158290574022,65.47521461204323,50.99839394599303,51.9,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24017,Charles,mixed_real_and_demo_data,6.87,122816.0,4.63,13.69,11.25,3.87,4.73,54,135,44,16.0,1,1,14.0,1,1,0.0,0,0,1.0,1.0,1.0,3.0,0.5864174001770981,13.4,41.9,41.4,17.5,11.5,11.8,81.1,58.08408005076548,19.163284680063278,16.495072719553825,59.06238691686261,63.656730801183,40.8,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24019,Dorchester,mixed_real_and_demo_data,17.14,61839.0,5.54,23.01,16.71,11.64,10.86,43,76,29,19.0,1,1,14.0,1,1,17.0,1,1,1.0,0.0,0.0,0.0,3.053062221408072,16.6,41.8,44.2,24.1,16.1,16.3,81.8,80.6843081236154,79.49937293072259,40.519281590033316,98.02898550724638,71.90053123282654,75.8,1,Chronic disease burden,real_public_data,real_public_data,real_public_data,real_public_data
24021,Frederick,mixed_real_and_demo_data,6.0,122002.0,4.71,15.29,9.92,4.42,5.57,88,196,64,20.0,2,1,17.0,2,1,26.0,1,1,1.0,1.0,1.0,3.0,0.3483737911429447,10.6,34.7,33.9,14.7,9.2,10.5,78.7,77.435784724223,16.578435839141683,18.955174274668202,20.53884751224903,63.55644800073258,34.9,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24023,Garrett,mixed_real_and_demo_data,11.25,67688.0,6.2,24.2,19.83,7.87,14.39,52,92,36,18.0,2,1,18.0,2,1,20.0,1,1,1.0,1.0,1.0,4.0,3.4946706272933774,14.1,36.3,42.4,21.0,14.2,15.0,80.0,82.76538308264392,69.1660256425518,46.54062569776962,71.0457550690287,27.61811258663871,63.7,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24025,Harford,mixed_real_and_demo_data,7.14,112265.0,3.55,17.45,11.27,4.43,4.43,79,170,55,14.0,1,1,12.0,1,1,6.0,1,1,2.0,1.0,2.0,2.0,0.7582737140625652,11.6,35.8,35.9,15.9,10.9,12.1,79.7,57.94997706412359,26.35494416348246,9.61068757746582,34.50722639111384,66.7796489084379,35.4,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24027,Howard,mixed_real_and_demo_data,5.23,149763.0,4.23,15.25,8.67,3.63,2.06,112,275,83,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1.0,1.0,3.0,0.29732879807806667,10.4,30.0,34.5,12.4,7.4,9.5,80.8,4.723923948721126,4.900172846442842,9.322879400600394,7.685576259489296,65.3401161111432,12.5,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
