metric,maryland_average
data_year,2024.0
population,259000.0
median_household_income,90195.83333333333
poverty_pct,10.191666666666666
uninsured_pct,5.295833333333333
pct_age_65_plus,19.395833333333332
pct_nonwhite,36.291666666666664
rural_flag,0.375
primary_care_physicians_per_100k,78.5
mental_health_providers_per_100k,164.29166666666666
dental_providers_per_100k,53.958333333333336
hpsa_primary_care_score,8.083333333333334
hpsa_mental_health_score,9.375
acute_care_hospitals,2.2083333333333335
hospital_beds_per_1000,2.091666666666667
avg_hospital_star_rating,3.2708333333333335
readmission_rate_pct,15.129166666666668
diabetes_pct,10.9625
obesity_pct,33.708333333333336
hypertension_pct,32.791666666666664
poor_or_fair_health_pct,15.0
preventable_hospital_stays_per_100k,3983.3333333333335
life_expectancy,78.07083333333334
primary_care_gap,59.5
mental_health_gap,60.45988934993085
dental_gap,56.77860696517413
hpsa_primary_need,41.666666666666664
hpsa_mental_need,43.38235294117647
provider_gap_index,52.35750318458961
provider_access_index,47.642496815410375
socioeconomic_need_index,41.400596507069835
chronic_burden_index,47.56228354944062
hospital_quality_gap_index,54.66515700483092
access_risk_score,48.770833333333336
high_access_risk,0.25
