HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,Unnamed: 64,county_fips
ME - Claremont,6249324585,HPSA Population,Dental Health,15,MD,Withdrawn,12/26/2018,01/02/2024,Unknown,24510260402,Not applicable,01/02/2024,1.6400,24218.0,17.5,14767:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,2604.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,6560,17658,0,M,,4000:1,,4.4100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME - Claremont,6249324585,HPSA Population,Dental Health,15,MD,Withdrawn,12/26/2018,01/02/2024,Unknown,24510270101,Not applicable,01/02/2024,1.6400,24218.0,17.5,14767:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,2701.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,6560,17658,0,M,,4000:1,,4.4100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME - Claremont,6249324585,HPSA Population,Dental Health,15,MD,Withdrawn,12/26/2018,01/02/2024,Unknown,24510270102,Not applicable,01/02/2024,1.6400,24218.0,17.5,14767:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,2701.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,6560,17658,0,M,,4000:1,,4.4100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510260900,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,2609,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510010400,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,104,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510260700,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,2607,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510010200,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,102,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510030100,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,301,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510020100,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,201,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510261000,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,2610,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
