HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,Unnamed: 64,county_fips
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260202,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2602.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260404,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2604.04,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260203,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2602.03,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260501,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2605.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260301,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2603.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260604,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2606.04,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260302,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2603.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260700,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2607,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-Southeastern Baltimore City,7247682953,HPSA Population,Mental Health,18,MD,Withdrawn,12/18/2017,01/02/2024,Unknown,24510260101,Not applicable,01/02/2024,0.1700,26759.0,20.5,157406:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2601.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3400,23359,0,M,,20000:1,,1.6100,W,Hpsa Pop,2024/01/02,24,Maryland,Psychiatrist,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
St. Mary's County,7247663342,Geographic HPSA,Mental Health,13,MD,Proposed For Withdrawal,08/18/2011,09/22/2025,Unknown,24037,Not applicable,,1.0000,109119.0,8.0,109119:1,Geographic Population,Partially Rural,,,,N,"St. Mary's County, MD",,Region 3,MD,24037,24,Maryland,St. Mary's,037,7,,,St. Mary's,,MD,SCTY,Single County,Geographic Population,30000,79119,0,TRC,,30000:1,,4.4600,P,Hpsa Geo,,24,Maryland,Psychiatrist,P,MD,24037,24,Maryland,N,N,06/15/2026,2026/06/15,,24037
