HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,PC MCTA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,Unnamed: 65,county_fips
CITY OF FREDERICK,124999248P,Federally Qualified Health Center,Primary Care,20,16,MD,Designated,02/28/2017,09/22/2025,Unknown,POINT,,,,24697.0,,,,Non-Rural,-77.41293066,39.41427795,03E01218,N,"Frederick County, MD",21701,Region 3,MD,24021,24,Maryland,Frederick,021,1,100 W Patrick St,Frederick,CITY OF FREDERICK,124999248P,,UNK,Unknown,Federally Qualified Health Center,,,0,,21701-5578,,,,D,FQHC,,24,Maryland,,N,MD,24021,24,Maryland,N,N,06/15/2026,2026/06/15,,24021
Baltimore City Detention Center,124999248O,Correctional Facility,Primary Care,6,,MD,Withdrawn,06/28/2012,06/25/2019,Unknown,POINT,,06/25/2019,3.6000,,,,,Non-Rural,-76.61076128,39.30116655,,N,"Baltimore City, MD",21202,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,401 E Eager St,Baltimore,Baltimore City Detention Center,124999248O,,UNK,Unknown,Correctional Facility,,,0,,21202-4214,1000:1,,20.3200,W,PRSN,2019/06/25,24,Maryland,,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Baltimore Central Booking Intake Facility,124999248N,Correctional Facility,Primary Care,15,,MD,Withdrawn,06/18/2012,06/25/2019,Unknown,POINT,,06/25/2019,6.0000,,,,,Non-Rural,-76.60973512,39.29884527,,N,"Baltimore City, MD",21202,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,300 E Madison St,Baltimore,Baltimore Central Booking Intake Facility,124999248N,,UNK,Unknown,Correctional Facility,,,0,,21202-4260,1000:1,,62.4900,W,PRSN,2019/06/25,24,Maryland,,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260201,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2602.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260403,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2604.03,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260101,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2601.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260302,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2603.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260203,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2602.03,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260301,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2603.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260202,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2602.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510080101,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,801.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260102,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2601.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260402,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2604.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260303,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2603.03,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510260401,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2604.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Cedonia/Frankford,124999248M,HPSA Population,Primary Care,16,,MD,Withdrawn,05/25/2012,07/02/2018,Unknown,24510080102,Not applicable,07/02/2018,1.2000,16232.0,,13527:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,801.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,3600,12632,0,M,,3000:1,49272,4.2100,W,Hpsa Pop,2018/07/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Jessup Correctional Institute,124999248L,Correctional Facility,Primary Care,3,,MD,Withdrawn,05/25/2012,06/25/2019,Unknown,POINT,,06/25/2019,2.0000,,,,,Non-Rural,-76.77573283,39.14586178,,N,"Anne Arundel County, MD",20794,Region 3,MD,24003,24,Maryland,Anne Arundel,003,1,534 House of Correction Rd,Jessup,Jessup Correctional Institute,124999248L,,UNK,Unknown,Correctional Facility,,,0,,20794,1000:1,,0.0000,W,PRSN,2019/06/25,24,Maryland,,N,MD,24003,24,Maryland,N,N,06/15/2026,2026/06/15,,24003
Southern Park Heights,124999248B,High Needs Geographic HPSA,Primary Care,21,,MD,Withdrawn,07/13/2010,07/29/2014,Metropolitan,24510151200,Not applicable,07/29/2014,3.0000,15600.0,,5200:1,Geographic Population,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,1512,,MD,CT,Census Tract,Geographic Population,9000,6600,M,TRC,,3000:1,,2.2000,W,Hpsa Geo HN,2014/07/29,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Southern Park Heights,124999248B,High Needs Geographic HPSA,Primary Care,21,,MD,Withdrawn,07/13/2010,07/29/2014,Metropolitan,24510271600,Not applicable,07/29/2014,3.0000,15600.0,,5200:1,Geographic Population,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,2716,,MD,CT,Census Tract,Geographic Population,9000,6600,M,TRC,,3000:1,,2.2000,W,Hpsa Geo HN,2014/07/29,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Southern Park Heights,124999248B,High Needs Geographic HPSA,Primary Care,21,,MD,Withdrawn,07/13/2010,07/29/2014,Metropolitan,24510151300,Not applicable,07/29/2014,3.0000,15600.0,,5200:1,Geographic Population,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,1,,,1513,,MD,CT,Census Tract,Geographic Population,9000,6600,M,TRC,,3000:1,,2.2000,W,Hpsa Geo HN,2014/07/29,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Tilghman,1249992489,Geographic HPSA,Primary Care,9,,MD,Withdrawn,10/08/2009,07/01/2015,Unknown,24041960201,Not applicable,07/01/2015,3.0000,15883.0,6.2,5294:1,Geographic Population,Rural,,,,N,"Talbot County, MD",,Region 3,MD,24041,24,Maryland,Talbot,041,1,,,9602.01,,MD,CT,Census Tract,Geographic Population,10500,5383,0,TRC,,3500:1,15883,1.5400,W,Hpsa Geo,2015/07/01,24,Maryland,Not Applicable,R,MD,24041,24,Maryland,N,N,06/15/2026,2026/06/15,,24041
Tilghman,1249992489,Geographic HPSA,Primary Care,9,,MD,Withdrawn,10/08/2009,07/01/2015,Unknown,24041960700,Not applicable,07/01/2015,3.0000,15883.0,6.2,5294:1,Geographic Population,Rural,,,,N,"Talbot County, MD",,Region 3,MD,24041,24,Maryland,Talbot,041,1,,,9607,,MD,CT,Census Tract,Geographic Population,10500,5383,0,TRC,,3500:1,15883,1.5400,W,Hpsa Geo,2015/07/01,24,Maryland,Not Applicable,R,MD,24041,24,Maryland,N,N,06/15/2026,2026/06/15,,24041
Tilghman,1249992489,Geographic HPSA,Primary Care,9,,MD,Withdrawn,10/08/2009,07/01/2015,Unknown,24041960600,Not applicable,07/01/2015,3.0000,15883.0,6.2,5294:1,Geographic Population,Rural,,,,N,"Talbot County, MD",,Region 3,MD,24041,24,Maryland,Talbot,041,1,,,9606,,MD,CT,Census Tract,Geographic Population,10500,5383,0,TRC,,3500:1,15883,1.5400,W,Hpsa Geo,2015/07/01,24,Maryland,Not Applicable,R,MD,24041,24,Maryland,N,N,06/15/2026,2026/06/15,,24041
Tilghman,1249992489,Geographic HPSA,Primary Care,9,,MD,Withdrawn,10/08/2009,07/01/2015,Unknown,24041960800,Not applicable,07/01/2015,3.0000,15883.0,6.2,5294:1,Geographic Population,Rural,,,,N,"Talbot County, MD",,Region 3,MD,24041,24,Maryland,Talbot,041,1,,,9608,,MD,CT,Census Tract,Geographic Population,10500,5383,0,TRC,,3500:1,15883,1.5400,W,Hpsa Geo,2015/07/01,24,Maryland,Not Applicable,R,MD,24041,24,Maryland,N,N,06/15/2026,2026/06/15,,24041
Tilghman,1249992489,Geographic HPSA,Primary Care,9,,MD,Withdrawn,10/08/2009,07/01/2015,Unknown,24041990000,Not applicable,07/01/2015,3.0000,15883.0,6.2,5294:1,Geographic Population,Rural,,,,N,"Talbot County, MD",,Region 3,MD,24041,24,Maryland,Talbot,041,1,,,9900,,MD,CT,Census Tract,Geographic Population,10500,5383,0,TRC,,3500:1,15883,1.5400,W,Hpsa Geo,2015/07/01,24,Maryland,Not Applicable,R,MD,24041,24,Maryland,N,N,06/15/2026,2026/06/15,,24041
Tilghman,1249992489,Geographic HPSA,Primary Care,9,,MD,Withdrawn,10/08/2009,07/01/2015,Unknown,24041960900,Not applicable,07/01/2015,3.0000,15883.0,6.2,5294:1,Geographic Population,Rural,,,,N,"Talbot County, MD",,Region 3,MD,24041,24,Maryland,Talbot,041,1,,,9609,,MD,CT,Census Tract,Geographic Population,10500,5383,0,TRC,,3500:1,15883,1.5400,W,Hpsa Geo,2015/07/01,24,Maryland,Not Applicable,R,MD,24041,24,Maryland,N,N,06/15/2026,2026/06/15,,24041
Rock Hall,1249992488,Geographic HPSA,Primary Care,12,,MD,Withdrawn,03/06/2009,07/01/2015,Unknown,24029950400,Not applicable,07/01/2015,0.0000,2431.0,13.2,,Geographic Population,Rural,,,,N,"Kent County, MD",,Region 3,MD,24029,24,Maryland,Kent,029,1,,,9504,,MD,CT,Census Tract,Geographic Population,0,2431,0,TRC,,3500:1,2431,0.7000,W,Hpsa Geo,2015/07/01,24,Maryland,Not Applicable,R,MD,24029,24,Maryland,N,N,06/15/2026,2026/06/15,,24029
